word,source,reason,rank,n_headlines,mean_plain_vader,lm_categories,in_vader_default,disposition,extension_status
will,screen_pool,,1,3280,0.093,Strong_Modal,no,excluded_modal_hedging,
could,screen_pool,,2,3145,0.164,"Uncertainty,Weak_Modal",no,excluded_modal_hedging,
may,screen_pool,,3,1587,0.113,"Uncertainty,Weak_Modal",no,excluded_modal_hedging,
despite,screen_pool,,4,756,0.126,Positive,no,excluded_judgement_context,
rebound,screen_pool,,5,679,0.18,Positive,no,rated_kept,kept
unusual,screen_pool,,6,621,0.094,Uncertainty,no,excluded_judgement_context,
miss,screen_pool,,7,609,-0.063,Negative,yes,rated_kept,kept
cut,screen_pool,,8,566,-0.196,Negative,yes,already_in_vader_default,
concerns,screen_pool,,9,468,-0.004,Negative,no,rated_kept,kept
against,screen_pool,,10,436,-0.003,Negative,no,excluded_judgement_context,
outperform,screen_pool,,11,434,0.089,Positive,no,rated_kept,kept
loss,screen_pool,,12,390,-0.205,Negative,yes,already_in_vader_default,
decline,screen_pool,,13,355,0.031,Negative,no,rated_kept,kept
might,screen_pool,,14,340,0.136,"Uncertainty,Weak_Modal",no,excluded_modal_hedging,
risk,screen_pool,,15,334,-0.215,Uncertainty,yes,already_in_vader_default,
claims,screen_pool,,16,321,-0.005,"Litigious,Negative",no,rated_flagged,flagged
volatility,screen_pool,,17,304,0.061,"Negative,Uncertainty",no,rated_kept,kept
boom,screen_pool,,18,284,0.156,Positive,no,excluded_judgement_context,
late,screen_pool,,19,280,0.075,Negative,no,excluded_judgement_context,
downgrades,screen_pool,,20,278,0.067,Negative,no,rated_kept,kept
court,screen_pool,,21,275,0.076,Litigious,no,excluded_litigious_process,
misses,screen_pool,,22,272,-0.107,Negative,yes,rated_kept,kept
nearly,screen_pool,,23,243,0.106,"Uncertainty,Weak_Modal",no,excluded_modal_hedging,
surpass,screen_pool,,24,217,0.013,Positive,no,rated_kept,kept
dropped,screen_pool,,25,214,0.043,Negative,no,excluded_judgement_context,
contract,screen_pool,,26,184,0.142,Litigious,no,excluded_litigious_process,
ignore,screen_pool,,27,172,-0.025,Negative,yes,already_in_vader_default,
volatile,screen_pool,,28,166,0.125,"Negative,Uncertainty",no,rated_kept,kept
shortage,screen_pool,,29,166,-0.136,Negative,yes,already_in_vader_default,
never,screen_pool,,30,165,0.074,Strong_Modal,no,excluded_modal_hedging,
sharply,screen_pool,,31,161,-0.055,Negative,no,excluded_judgement_context,
lawsuit,screen_pool,,32,156,-0.213,Litigious,yes,already_in_vader_default,
slowdown,screen_pool,,33,155,-0.08,Negative,no,rated_kept,kept
